"E5100A REV3.14"
"DATE: Jun 25 2004"



"CHANNEL: 2"
"MEASURE TYPE: AR"
"FORMAT TYPE: LINMP"
"NUMBER of POINTS: 1601"
"SWEEP TIME:  3.458 s"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 500 Hz"

"Frequency"	"Main Array"	"Sub Array"
8.19168750000E+05	1.862862E+01	-8.975697E+01
8.21037500000E+05	1.866865E+01	-8.977757E+01
8.22906250000E+05	1.872561E+01	-8.980422E+01
8.24775000000E+05	1.876136E+01	-8.979848E+01
8.26643750000E+05	1.880064E+01	-8.978182E+01
8.28512500000E+05	1.884238E+01	-8.982097E+01
8.30381250000E+05	1.889106E+01	-8.980445E+01
8.32250000000E+05	1.892965E+01	-8.983032E+01
8.34118750000E+05	1.897474E+01	-8.980400E+01
8.35987500000E+05	1.902300E+01	-8.974198E+01
8.37856250000E+05	1.907282E+01	-8.976144E+01
8.39725000000E+05	1.906805E+01	-8.975236E+01
8.41593750000E+05	1.914821E+01	-8.985125E+01
8.43462500000E+05	1.916296E+01	-8.980749E+01
8.45331250000E+05	1.923097E+01	-8.982360E+01
8.47200000000E+05	1.926963E+01	-8.981910E+01
8.49068750000E+05	1.931975E+01	-8.976973E+01
8.50937500000E+05	1.934614E+01	-8.976357E+01
8.52806250000E+05	1.939069E+01	-8.978624E+01
8.54675000000E+05	1.943698E+01	-8.983302E+01
8.56543750000E+05	1.948228E+01	-8.979403E+01
8.58412500000E+05	1.953320E+01	-8.982825E+01
8.60281250000E+05	1.956234E+01	-8.977816E+01
8.62150000000E+05	1.961440E+01	-8.980099E+01
8.64018750000E+05	1.965158E+01	-8.973793E+01
8.65887500000E+05	1.969612E+01	-8.979626E+01
8.67756250000E+05	1.973924E+01	-8.981654E+01
8.69625000000E+05	1.977118E+01	-8.977499E+01
8.71493750000E+05	1.980577E+01	-8.980401E+01
8.73362500000E+05	1.986710E+01	-8.980644E+01
8.75231250000E+05	1.991894E+01	-8.978205E+01
8.77100000000E+05	1.995147E+01	-8.975950E+01
8.78968750000E+05	1.999780E+01	-8.983687E+01
8.80837500000E+05	2.002095E+01	-8.983482E+01
8.82706250000E+05	2.008758E+01	-8.981851E+01
8.84575000000E+05	2.010712E+01	-8.980090E+01
8.86443750000E+05	2.013795E+01	-8.983597E+01
8.88312500000E+05	2.019191E+01	-8.980377E+01
8.90181250000E+05	2.023324E+01	-8.983218E+01
8.92050000000E+05	2.028844E+01	-8.979613E+01
8.93918750000E+05	2.032407E+01	-8.982696E+01
8.95787500000E+05	2.038626E+01	-8.984227E+01
8.97656250000E+05	2.041663E+01	-8.985065E+01
8.99525000000E+05	2.045885E+01	-8.989270E+01
9.01393750000E+05	2.049975E+01	-8.976205E+01
